model,total_files,average_wer,median_wer,min_wer,max_wer,total_time_seconds,avg_time_per_file
finetune-base,91,0.05021559069799095,0.038461538461538464,0.0,0.20833333333333334,37.10949897766113,0.40779669206221025
finetune-large,91,0.030070575546511664,0.0,0.0,0.18181818181818182,90.20680284500122,0.9912835477472661
finetune-medium,91,0.029628945814264087,0.0,0.0,0.19047619047619047,133.03855991363525,1.4619621968531347
finetune-small,91,0.03449846376070511,0.0,0.0,0.19230769230769232,74.91666412353516,0.8232600453135731
finetune-tiny,91,0.06585707216084717,0.045454545454545456,0.0,0.3333333333333333,22.497689485549927,0.24722735698406512
original-base,91,0.05459961220295721,0.041666666666666664,0.0,0.21052631578947367,37.58445477485657,0.41301598653688537
original-large,91,0.027652009702241093,0.0,0.0,0.15789473684210525,91.34288954734802,1.0037680170038243
original-medium,91,0.027082035471620067,0.0,0.0,0.14285714285714285,98.61489462852478,1.0836801607530195
original-small,91,0.03962861523581598,0.0,0.0,0.19047619047619047,47.113449573516846,0.5177302150935917
original-tiny,91,0.0784586290268262,0.047619047619047616,0.0,0.2631578947368421,25.02244210243225,0.27497189123551924
